Module                  Size  Used by
acpi_thermal_rel       16384  1 int3400_thermal
acpi_pad              184320  0
intel_pch_thermal      16384  0
nls_utf8               16384  1
isofs                  53248  1
squashfs               69632  1
zstd_decompress        90112  1 squashfs
dm_multipath           40960  0
mmc_block              53248  2
crct10dif_pclmul       16384  1
crc32_pclmul           16384  0
crc32c_intel           24576  3
ghash_clmulni_intel    16384  0
serio_raw              20480  0
sdhci_pci              49152  0
cqhci                  32768  1 sdhci_pci
sdhci                  65536  1 sdhci_pci
mmc_core              184320  4 sdhci,cqhci,mmc_block,sdhci_pci
wmi                    36864  0
video                  53248  2 int3406_thermal,i915
pinctrl_sunrisepoint    28672  4
i2c_hid                32768  0
pinctrl_intel          32768  2 pinctrl_sunrisepoint
8021q                  40960  0
garp                   20480  1 8021q
mrp                    20480  1 8021q
stp                    16384  1 garp
llc                    16384  2 stp,garp
cdc_ether              24576  0
usbnet                 49152  1 cdc_ether
uas                    28672  0
r8152                  77824  0
usb_storage            81920  3 uas
mii                    16384  2 usbnet,r8152
hid_multitouch         32768  0
sunrpc                512000  2 rpcrdma
be2iscsi              131072  0
bnx2i                  57344  0
cnic                   73728  1 bnx2i
uio                    20480  1 cnic
cxgb4i                 53248  0
cxgb4                 466944  2 iw_cxgb4,cxgb4i
cxgb3i                 40960  0
cxgb3                 192512  2 iw_cxgb3,cxgb3i
mdio                   16384  1 cxgb3
libcxgbi               69632  2 cxgb4i,cxgb3i
libcxgb                24576  3 iw_cxgb4,libcxgbi,cxgb3i
qla4xxx               315392  0
iscsi_boot_sysfs       16384  2 be2iscsi,qla4xxx
iscsi_tcp              28672  0
libiscsi_tcp           36864  4 libcxgbi,iscsi_tcp,cxgb4i,cxgb3i
libiscsi               69632  9 be2iscsi,libiscsi_tcp,bnx2i,libcxgbi,iscsi_tcp,ib_iser,qla4xxx,cxgb4i,cxgb3i
scsi_transport_iscsi   131072  8 be2iscsi,libiscsi_tcp,bnx2i,libcxgbi,iscsi_tcp,ib_iser,qla4xxx,libiscsi
loop                   40960  6
fuse                  139264  5
