Module                  Size  Used by
int340x_thermal_zone    20480  2 int3403_thermal,processor_thermal_device
intel_lpss_acpi        16384  0
int3406_thermal        16384  0
mei                   172032  5 mei_hdcp,mei_pxp,mei_me
intel_pch_thermal      20480  0
i2c_i801               45056  0
intel_gtt              28672  1 i915
soundcore              16384  1 snd
mc                     77824  5 videodev,ipu3_cio2,videobuf2_v4l2,videobuf2_common,ipu3_imgu
intel_lpss_pci         28672  0
intel_soc_dts_iosf     24576  1 processor_thermal_device_pci_legacy
intel_lpss             16384  2 intel_lpss_pci,intel_lpss_acpi
i2c_smbus              20480  1 i2c_i801
video                  57344  2 int3406_thermal,i915
idma64                 20480  0
pkcs8_key_parser       16384  0
crypto_user            20480  0
fuse                  180224  3
bpf_preload            16384  0
ip_tables              32768  5 iptable_filter,iptable_security,iptable_raw,iptable_nat,iptable_mangle
x_tables               61440  12 ip6table_filter,ip6table_raw,iptable_filter,iptable_security,ip6table_nat,ip6_tables,iptable_raw,ip_tables,iptable_nat,ip6table_mangle,ip6table_security,iptable_mangle
ext4                 1024000  1
crc32c_generic         16384  0
crc16                  16384  2 bluetooth,ext4
mbcache                16384  1 ext4
jbd2                  192512  1 ext4
usbhid                 77824  0
mmc_block              61440  4
serio_raw              20480  0
sdhci_pci              73728  0
atkbd                  36864  0
libps2                 24576  1 atkbd
cqhci                  45056  1 sdhci_pci
i8042                  49152  0
sdhci                  94208  1 sdhci_pci
xhci_pci               24576  0
crc32c_intel           24576  3
mmc_core              233472  4 sdhci,cqhci,mmc_block,sdhci_pci
xhci_pci_renesas       24576  1 xhci_pci
serio                  28672  4 serio_raw,atkbd,i8042
